code,time_zone_id,country,region,latitude,longitude
MEF,Africa/Ndjamena,Chad,Africa,,
NNK,America/Anchorage,United States,Alaska,,
WTL,America/Anchorage,United States,Alaska,,
YPS,America/Halifax,Canada,Canada,,
OOD,Australia/Perth,Australia,Australia/New Zealand,,
YPR,America/Vancouver,Canada,Canada,,
VSK,America/Los_Angeles,United States,Domestic,,
BNF,America/Sitka,United States,Alaska,57.08882583,-134.8331414
CGX,America/Chicago,United States,Domestic,41.85884389,-87.60791167
CHW,Asia/Shanghai,China,Pacific,,
COD,America/Denver,United States,Domestic,44.52019417,-109.0237961
MEG,Africa/Luanda,Angola,Africa,,
XOF,Europe/London,United Kingdom,Europe,,
MEP,Asia/Kuala_Lumpur,Malaysia,Pacific,,
AKV,America/Iqaluit,Canada,Canada,,
ANH,Pacific/Guadalcanal,Solomon Islands,Pacific,,
YKJ,America/Regina,Canada,Canada,,
YMG,America/Toronto,Canada,Canada,,
BDO,Asia/Jakarta,Indonesia,Pacific,,
YUD,America/Montreal,Canada,Canada,,
YFJ,America/Yellowknife,Canada,Canada,,
DSY,Asia/Phnom_Penh,Cambodia,Pacific,,
YPC,America/Yellowknife,Canada,Canada,,
BDQ,Asia/Kolkata,India,Pacific,35.13619528,-92.71349722
LAK,America/Yellowknife,Canada,Canada,,
MEJ,America/New_York,United States,Domestic,37.27938889,-100.3563056
EWR,America/New_York,United States,Domestic,40.69249722,-74.16866056
MEQ,Asia/Jakarta,Indonesia,Pacific,,
YXN,America/Rankin_Inlet,Canada,Canada,,
IUP,America/Manaus,Brazil,South America,,
MEU,America/Santarem,Brazil,South America,,
RLD,America/Los_Angeles,United States,Domestic,46.305635,-119.3041853
LEG,Africa/Nouakchott,Mauritania,Africa,,
YSK,America/Iqaluit,Canada,Canada,,
MER,America/Los_Angeles,United States,Domestic,37.38048056,-120.5681889
MES,Asia/Jakarta,Indonesia,Pacific,,
NOR,Atlantic/Reykjavik,Iceland,Europe,,
YCK,America/Yellowknife,Canada,Canada,,
MFG,Asia/Karachi,Pakistan,Pacific,,
MFI,America/Chicago,United States,Domestic,44.63687972,-90.18932667
YSP,America/Toronto,Canada,Canada,,
YST,America/Winnipeg,Canada,Canada,,
YTA,America/Toronto,Canada,Canada,,
BXL,Pacific/Fiji,Fiji,Pacific,,
YTQ,America/Montreal,Canada,Canada,,
COH,Asia/Kolkata,India,Pacific,,
DDD,Indian/Maldives,Maldives,Pacific,,
YTW,Asia/Urumqi,China,Pacific,,
YGZ,America/Iqaluit,Canada,Canada,,
YLH,America/Toronto,Canada,Canada,,
DUN,America/Godthab,Greenland,Other International,,
YTL,America/Winnipeg,Canada,Canada,,
COK,Asia/Kolkata,India,Pacific,,
DWF,America/New_York,United States,Domestic,,
EFB,America/Juneau,United States,Alaska,,
JDE,Asia/Shanghai,China,Pacific,,
CYA,America/Port-au-Prince,Haiti,Caribbean,,
MFK,Asia/Taipei,"Taiwan, Province of China",Pacific,,
MEW,Africa/Lubumbashi,"Congo, The Democratic Republic of the",Africa,,
MFF,Africa/Libreville,Gabon,Africa,,
SPK,Asia/Tokyo,Japan,Pacific,,
YVM,America/Pangnirtung,Canada,Canada,,
MFS,America/Bogota,Colombia,South America,,
MFT,America/Lima,Peru,South America,,
WTC,America/New_York,United States,Domestic,,
MBN,Australia/Perth,Australia,Australia/New Zealand,,
MFQ,Africa/Niamey,Niger,Africa,,
AGZ,Africa/Johannesburg,South Africa,Africa,43.06332694,-98.29618972
DBR,Asia/Kolkata,India,Pacific,,
DDC,America/Chicago,United States,Domestic,37.76312194,-99.96542389
MFR,America/Los_Angeles,United States,Domestic,42.37422778,-122.8734978
MZD,America/Guayaquil,Ecuador,South America,,
YPB,America/Vancouver,Canada,Canada,,
ZLT,America/Blanc-Sablon,Canada,Canada,,
LPB,America/La_Paz,"Bolivia, Plurinational State of",South America,,
YNL,America/Regina,Canada,Canada,,
DIO,America/Nome,United States,Alaska,,
YYL,America/Winnipeg,Canada,Canada,,
YYU,America/Toronto,Canada,Canada,,
EEA,America/Sao_Paulo,Brazil,South America,,
TKM,America/Guatemala,Guatemala,Mexico/Central America,,
ERH,Africa/Casablanca,Morocco,Africa,,
ERI,America/New_York,United States,Domestic,42.08202139,-80.17621556
ERL,Asia/Shanghai,China,Pacific,,
EXT,Europe/London,United Kingdom,Europe,,
FFA,America/New_York,United States,Domestic,36.01822278,-75.67128694
SUR,America/Toronto,Canada,Canada,,
XGL,America/Winnipeg,Canada,Canada,,
NEI,Asia/Vladivostok,Russian Federation,Europe,,
LPF,Asia/Shanghai,China,Pacific,,
KES,America/Winnipeg,Canada,Canada,,
YSI,America/Toronto,Canada,Canada,,
YTH,America/Winnipeg,Canada,Canada,,
BYX,Australia/Darwin,Australia,Australia/New Zealand,,
CGA,America/Sitka,United States,Alaska,55.47883139,-133.1478011
WHB,Australia/Perth,Australia,Australia/New Zealand,,
LPT,Asia/Bangkok,Thailand,Pacific,,
LTK,Asia/Damascus,Syrian Arab Republic,Middle East,,
ZGI,America/Winnipeg,Canada,Canada,,
MAW,America/Chicago,United States,Domestic,36.60055694,-89.99220278
AGL,Pacific/Port_Moresby,Papua New Guinea,Pacific,,
MAX,Africa/Dakar,Senegal,Africa,,
BFB,America/Anchorage,United States,Alaska,,
YZP,America/Vancouver,Canada,Canada,,
YZT,America/Vancouver,Canada,Canada,,
YTD,America/Winnipeg,Canada,Canada,,
ZPB,America/Winnipeg,Canada,Canada,,
MBA,Africa/Nairobi,Kenya,Africa,,
MGZ,Asia/Rangoon,Myanmar,Pacific,,
MHD,Asia/Tehran,"Iran, Islamic Republic of",Middle East,,
OBA,Australia/Brisbane,Australia,Australia/New Zealand,,
